id (DMA),year,month,week,after,close, sales ,,,,,,,,,,
1,2011,4,17,0,1,"18,564",,,,,,,,,,
1,2011,4,18,0,1,"30,883",,,,,,,,,,
1,2011,5,19,0,1,"37,425",,,,,,,,,,
1,2011,5,20,0,1,"32,563",,,,,,,,,,
1,2011,5,21,0,1,"35,773",,,,,,,,,,
1,2011,5,22,0,1,"33,142",,,,,,,,,,
1,2011,5,23,0,1,"31,752",,,,,,,,,,
1,2011,6,24,0,1,"44,807",,,,,,,,,,
1,2011,6,25,0,1,"31,873",,,,,,,,,,
1,2011,6,26,0,1,"31,290",,,,,,,,,,
1,2011,6,27,0,1,"18,165",,,,,,,,,,
1,2011,7,28,0,1,"24,031",,,,,,,,,,
1,2011,7,29,0,1,"16,518",,,,,,,,,,
1,2011,7,30,0,1,"6,845",,,,,,,,,,
1,2011,7,31,0,1,"11,946",,,,,,,,,,
1,2011,8,32,0,1,"20,217",,,,,,,,,,
1,2011,8,33,0,1,"19,117",,,,,,,,,,
1,2011,8,34,0,1,"15,089",,,,,,,,,,
1,2011,8,35,0,1,"11,507",,,,,,,,,,
1,2011,8,36,0,1,"27,765",,,,,,,,,,
1,2011,9,37,0,1,"26,113",,,,,,,,,,
1,2011,9,38,0,1,"19,311",,,,,,,,,,
1,2011,9,39,0,1,"14,742",,,,,,,,,,
1,2011,9,40,0,1,"31,951",,,,,,,,,,
1,2011,10,41,0,1,"18,089",,,,,,,,,,
1,2011,10,42,0,1,"40,563",,,,,,,,,,
1,2011,10,43,1,1,"26,997",,,,,,,,,,
1,2011,10,44,1,1,"27,522",,,,,,,,,,
1,2011,10,45,1,1,"19,164",,,,,,,,,,
1,2011,11,46,1,1,"16,667",,,,,,,,,,
1,2011,11,47,1,1,"39,513",,,,,,,,,,
1,2011,11,48,1,1,"22,378",,,,,,,,,,
1,2011,11,49,1,1,"69,086",,,,,,,,,,
1,2011,12,50,1,1,"27,563",,,,,,,,,,
1,2011,12,51,1,1,"20,592",,,,,,,,,,
1,2011,12,52,1,1,"27,297",,,,,,,,,,
1,2011,12,53,1,1,"12,993",,,,,,,,,,
1,2012,1,1,1,1,"17,913",,,,,,,,,,
1,2012,1,2,1,1,"16,275",,,,,,,,,,
1,2012,1,3,1,1,"6,721",,,,,,,,,,
1,2012,1,4,1,1,"17,295",,,,,,,,,,
1,2012,1,5,1,1,"11,948",,,,,,,,,,
1,2012,1,6,1,1,"21,471",,,,,,,,,,
1,2012,2,7,1,1,"23,376",,,,,,,,,,
1,2012,2,8,1,1,"16,399",,,,,,,,,,
1,2012,2,9,1,1,"28,410",,,,,,,,,,
1,2012,2,10,1,1,"18,620",,,,,,,,,,
1,2012,3,11,1,1,"10,191",,,,,,,,,,
1,2012,3,12,1,1,"13,472",,,,,,,,,,
1,2012,3,13,1,1,"9,424",,,,,,,,,,
1,2012,3,14,1,1,"10,010",,,,,,,,,,
2,2011,4,17,0,0,"86,333",,,,,,,,,,
2,2011,4,18,0,0,"57,385",,,,,,,,,,
2,2011,5,19,0,0,"109,949",,,,,,,,,,
2,2011,5,20,0,0,"72,000",,,,,,,,,,
2,2011,5,21,0,0,"134,981",,,,,,,,,,
2,2011,5,22,0,0,"34,303",,,,,,,,,,
2,2011,5,23,0,0,"88,618",,,,,,,,,,
2,2011,6,24,0,0,"98,572",,,,,,,,,,
2,2011,6,25,0,0,"42,960",,,,,,,,,,
2,2011,6,26,0,0,"59,599",,,,,,,,,,
2,2011,6,27,0,0,"122,426",,,,,,,,,,
2,2011,7,28,0,0,"84,280",,,,,,,,,,
2,2011,7,29,0,0,"37,158",,,,,,,,,,
2,2011,7,30,0,0,"67,812",,,,,,,,,,
2,2011,7,31,0,0,"60,453",,,,,,,,,,
2,2011,8,32,0,0,"31,015",,,,,,,,,,
2,2011,8,33,0,0,"73,827",,,,,,,,,,
2,2011,8,34,0,0,"44,440",,,,,,,,,,
2,2011,8,35,0,0,"77,481",,,,,,,,,,
2,2011,8,36,0,0,"63,910",,,,,,,,,,
2,2011,9,37,0,0,"103,031",,,,,,,,,,
2,2011,9,38,0,0,"42,616",,,,,,,,,,
2,2011,9,39,0,0,"60,001",,,,,,,,,,
2,2011,9,40,0,0,"44,036",,,,,,,,,,
2,2011,10,41,0,0,"66,435",,,,,,,,,,
2,2011,10,42,0,0,"54,882",,,,,,,,,,
